Day,Sport,Arrangement,Game,GameNr,HomeTeam,AwayTeam,H,U,B
SATURDAY,Fotball,"UEFA Nations League, B, Gr. 4",Slovenia - Norge,1,Slovenia,Norge,43,22,35
SATURDAY,Fotball,"UEFA Nations League, C, Gr. 2",Nord-Irland - Kosovo,2,Nord-Irland,Kosovo,46,27,27
SATURDAY,Fotball,"UEFA Nations League, A, Gr. 2",Spania - Sveits,3,Spania,Sveits,54,21,25
SATURDAY,Fotball,"UEFA Nations League, A, Gr. 2",Tsjekkia - Portugal,4,Tsjekkia,Portugal,37,27,36
SATURDAY,Fotball,"UEFA Nations League, B, Gr. 2",Israel - Albania,5,Israel,Albania,46,28,26
SATURDAY,Fotball,"UEFA Nations League, B, Gr. 4",Serbia - Sverige,6,Serbia,Sverige,43,25,32
SATURDAY,Fotball,"UEFA Nations League, B, Gr. 1",Skottland - Irland,7,Skottland,Irland,47,26,27
SATURDAY,Fotball,"UEFA Nations League, C, Gr. 2",Kypros - Hellas,8,Kypros,Hellas,34,26,40
SATURDAY,Fotball,Norsk Tipping-ligaen avd1,Lokomotiv Oslo - Ready,9,Lokomotiv Oslo,Ready,52,22,26
SATURDAY,Fotball,Norsk Tipping-ligaen avd3,Lysekloster - Bremnes,10,Lysekloster,Bremnes,51,24,25
SATURDAY,Fotball,Norsk Tipping-ligaen avd5,Kolstad - Steinkjer,11,Kolstad,Steinkjer,47,27,26
SATURDAY,Fotball,Norsk Tipping-ligaen avd5,Byåsen - Nardo,12,Byåsen,Nardo,48,25,27
