Day,Sport,Arrangement,Game,GameNr,HomeTeam,AwayTeam,H,U,B
SUNDAY,Fotball,"UEFA Nations League, A, Gr. 1",Danmark - Frankrike,1,Danmark,Frankrike,43,23,34
SUNDAY,Fotball,"UEFA Nations League, A, Gr. 4",Nederland - Belgia,2,Nederland,Belgia,44,28,28
SUNDAY,Fotball,"UEFA Nations League, A, Gr. 4",Wales - Polen,3,Wales,Polen,38,25,37
SUNDAY,Fotball,"UEFA Nations League, A, Gr. 1",Østerrike - Kroatia,4,Østerrike,Kroatia,39,26,35
SUNDAY,Fotball,"UEFA Nations League, C, Gr. 3",Aserbajdsjan - Kasakhstan,5,Aserbajdsjan,Kasakhstan,38,29,33
SUNDAY,Fotball,"UEFA Nations League, C, Gr. 1",Færøyene - Tyrkia,6,Færøyene,Tyrkia,31,19,50
SUNDAY,Fotball,"UEFA Nations League, C, Gr. 1",Luxembourg - Litauen,7,Luxembourg,Litauen,48,24,28
SUNDAY,Fotball,"UEFA Nations League, D, Gr. 1",Andorra - Latvia,8,Andorra,Latvia,31,24,45
SUNDAY,Fotball,"UEFA Nations League, D, Gr. 1",Moldova - Liechtenstein,9,Moldova,Liechtenstein,54,22,24
SUNDAY,Fotball,NOR PostNord-ligaen 2,Asker - Eidsvold Turn,10,Asker,Eidsvold Turn,49,25,26
SUNDAY,Fotball,"Toppserien, Women",Arna-Bjørnar - Røa,11,Arna-Bjørnar,Røa,49,26,25
SUNDAY,Fotball,"Toppserien, Women",Kolbotn - LSK Kvinner,12,Kolbotn,LSK Kvinner,34,26,40
